year,industry,industry_label,stable_share,accession_rate,separation_rate,churn_rate,stable_hire_share
2011,00,Total Private,0.8870186107713326,0.17199134378960504,0.1666675365583305,0.16932944017396775,0.47691836309637536
2011,56,Admin & Support (56),0.7866001393623299,0.37853625520264766,0.36864261950352056,0.3735894373530841,0.3405265703908171
2011,561320,Temp Help Services,0.643013626480098,0.6804947654416531,0.6653720640308631,0.6729334147362582,0.27423813552245624
2012,00,Total Private,0.8847285960236616,0.17503117150850747,0.16975773246234277,0.1723944519854251,0.4698753994545063
2012,56,Admin & Support (56),0.7819681151773398,0.38647349763305633,0.37816088265600006,0.3823171901445282,0.3296892782795817
2012,561320,Temp Help Services,0.6372385234356992,0.6920872716971455,0.6799326978454066,0.686009984771276,0.2634017620900336
2013,00,Total Private,0.8822533131194266,0.17873002151629205,0.17292037202538252,0.17582519677083727,0.46518766673386147
2013,56,Admin & Support (56),0.7785694907857159,0.39438475727545935,0.3832603947396333,0.38882257600754633,0.32807259519494214
2013,561320,Temp Help Services,0.6357707747068382,0.6984256207136396,0.6824536297632091,0.6904396252384244,0.261634265303619
2014,00,Total Private,0.8791087741052513,0.18402658370134478,0.17763451918604628,0.18083055144369553,0.4643282045452446
2014,56,Admin & Support (56),0.7703442929191034,0.4101562109679117,0.3994678326012538,0.40481202178458275,0.32288686270762157
2014,561320,Temp Help Services,0.6284190480772456,0.7128913892105102,0.6979988571033089,0.7054451231569095,0.2595110216690666
2015,00,Total Private,0.8756337360493042,0.1887802845907804,0.18374599632350688,0.18626314045714365,0.46143088860785497
2015,56,Admin & Support (56),0.7638091407871399,0.4220369273933173,0.4171180613598737,0.41957749437659553,0.315194074865071
2015,561320,Temp Help Services,0.6169887675110585,0.735271452990661,0.7342251196055558,0.7347482862981084,0.25124903417429156
2016,00,Total Private,0.8756309946377681,0.18910618833318577,0.185452949717654,0.18727956902541987,0.46204341001898747
2016,56,Admin & Support (56),0.7651741217655735,0.42091343230291356,0.4186402435888715,0.4197768379458925,0.31392115086456146
2016,561320,Temp Help Services,0.6187564475356097,0.7388338043574076,0.7422825563237544,0.7405581803405811,0.24831819427411045
2017,00,Total Private,0.875034577076319,0.190267881183497,0.18583679462628874,0.18805233790489287,0.4511008776715683
2017,56,Admin & Support (56),0.7650934312441302,0.4253036467716618,0.42090061255551947,0.4231021296635906,0.30366268995856055
2017,561320,Temp Help Services,0.6184807746084805,0.7521089008581772,0.7484159044060369,0.750262402632107,0.23823586227529286
2018,00,Total Private,0.8735421462868912,0.19222279396436867,0.18795018458843532,0.19008648927640198,0.452508962305665
2018,56,Admin & Support (56),0.7634878076263865,0.4260685270640594,0.4232784142418463,0.42467347065295286,0.30462390852264465
2018,561320,Temp Help Services,0.6124024267958394,0.7597142503982883,0.7606408313502226,0.7601775408742555,0.23720243185378306
2019,00,Total Private,0.8743548153864924,0.1895860735185371,0.18634884916961403,0.18796746134407555,0.4571576151473724
2019,56,Admin & Support (56),0.7675208535400184,0.41445768829036334,0.41496796685443343,0.41471282757239836,0.3090785067519457
2019,561320,Temp Help Services,0.6164300622575624,0.7442142279505678,0.7525883858419449,0.7484013068962563,0.2396800601380078
2020,00,Total Private,0.8663127269571476,0.18259179804088732,0.19709786835653925,0.1898448331987133,0.4419559989827297
2020,56,Admin & Support (56),0.7644478193004789,0.41094939673306213,0.42319586197035136,0.41707262935170675,0.29365573218072405
2020,561320,Temp Help Services,0.6024633046376024,0.7856368313722587,0.8002096862419468,0.7929232588071027,0.2229177496068721
2021,00,Total Private,0.8694920747919128,0.20930397324508648,0.1963826394462393,0.2028433063456629,0.4533246089513906
2021,56,Admin & Support (56),0.7644946477958425,0.4359565404372776,0.4205711446829715,0.4282638425601246,0.3132063614732793
2021,561320,Temp Help Services,0.612721324919393,0.7774423107029882,0.7531210004918838,0.765281655597436,0.2495154574617567
2022,00,Total Private,0.8689626615776884,0.20339992883827615,0.19554470538978364,0.1994723171140299,0.4825738491423443
2022,56,Admin & Support (56),0.7677010856275266,0.40987258916086533,0.4082743327872715,0.40907346097406844,0.3363543793435944
2022,561320,Temp Help Services,0.6231986820142205,0.7104642663663014,0.722690387973047,0.7165773271696743,0.2654752048460245
2023,00,Total Private,0.8772786505567539,0.1803554353266204,0.1773853159821966,0.1788703756544085,0.48510203417239933
2023,56,Admin & Support (56),0.7857206879363895,0.3520486134276656,0.3593625811431818,0.35570559728542367,0.3479600660567662
2023,561320,Temp Help Services,0.6448860123776041,0.6308263963016517,0.6589628104742276,0.6448946033879396,0.26454961225417556
