year,quarter,period,temp_emp,EarnS_temp,EarnS_sector,private_earnS,EarnHirAS_temp,EarnHirAS_sector,private_earnHirAS,wage_ratio_sector,wage_ratio_private,wage_gap_sector,wage_gap_private,hire_ratio_sector,hire_ratio_private
2015,2,2015 Q2,2867167,2581,3223,4325,2135,2332,2817,0.8008067018305927,0.5967630057803468,-642,-1744,0.9155231560891939,0.7578984735534257
2015,3,2015 Q3,2816733,2563,3206,4356,2065,2244,2692,0.7994385527136619,0.5883838383838383,-643,-1793,0.9202317290552585,0.7670876671619614
2015,4,2015 Q4,3058018,2826,3615,4876,2235,2406,2887,0.7817427385892116,0.5795734208367515,-789,-2050,0.928927680798005,0.774160027710426
2016,1,2016 Q1,2874314,2466,3237,4613,1921,2064,2470,0.7618164967562558,0.5345761977021461,-771,-2147,0.9307170542635659,0.7777327935222672
2016,2,2016 Q2,2760082,2668,3309,4421,2194,2387,2865,0.8062858869749169,0.603483374802081,-641,-1753,0.919145370758274,0.7657940663176265
2016,3,2016 Q3,2996511,2757,3433,4596,2227,2412,2831,0.8030876784153801,0.5998694516971279,-676,-1839,0.9233001658374793,0.7866478276227481
2016,4,2016 Q4,2917659,2747,3505,4778,2184,2330,2818,0.783737517831669,0.5749267475931352,-758,-2031,0.9373390557939915,0.7750177430801988
2017,1,2017 Q1,3027064,2667,3487,4927,2067,2231,2617,0.7648408373960425,0.5413030241526283,-820,-2260,0.9264903630658897,0.7898356897210547
2017,2,2017 Q2,2923455,2768,3428,4555,2284,2491,2979,0.8074679113185531,0.6076838638858397,-660,-1787,0.9169008430349257,0.7667002349781806
2017,3,2017 Q3,3038008,2718,3404,4553,2207,2387,2825,0.7984723854289072,0.596969031407863,-686,-1835,0.9245915374947633,0.7812389380530973
2017,4,2017 Q4,3108019,2875,3678,4976,2300,2467,2933,0.7816748232735182,0.5777733118971061,-803,-2101,0.9323064450749898,0.7841800204568701
2018,1,2018 Q1,3080977,2745,3619,5150,2124,2319,2730,0.7584968223266095,0.5330097087378641,-874,-2405,0.9159120310478654,0.778021978021978
2018,2,2018 Q2,3012468,2879,3569,4729,2382,2606,3112,0.8066685346035304,0.6087967857898076,-690,-1850,0.9140445126630852,0.7654241645244216
2018,3,2018 Q3,3074193,2844,3552,4701,2323,2532,2955,0.8006756756756757,0.6049776643267389,-708,-1857,0.9174565560821485,0.7861252115059222
2018,4,2018 Q4,3145021,3043,3821,5103,2434,2612,3108,0.7963883800052343,0.5963158926121889,-778,-2060,0.9318529862174579,0.7831402831402832
2019,1,2019 Q1,3032416,2876,3778,5290,2240,2441,2969,0.7612493382742191,0.5436672967863894,-902,-2414,0.9176566980745596,0.754462782081509
2019,2,2019 Q2,2981313,3018,3737,4883,2509,2763,3266,0.8075996788868076,0.6180626663936105,-719,-1865,0.9080709373868983,0.7682180036742192
2019,3,2019 Q3,2868202,3006,3698,4864,2452,2669,3122,0.8128718226068145,0.6180098684210527,-692,-1858,0.9186961408767329,0.7853939782190903
2019,4,2019 Q4,2890141,3186,3976,5310,2535,2713,3242,0.8013078470824949,0.6,-790,-2124,0.9343899741983045,0.7819247378161629
2020,1,2020 Q1,2959398,3332,4131,5687,2589,2776,3220,0.8065843621399177,0.5858976613328645,-799,-2355,0.9326368876080692,0.8040372670807453
2020,2,2020 Q2,2424740,3217,3778,4927,2548,2763,3253,0.8515087347803071,0.6529328191597321,-561,-1710,0.9221860296778863,0.7832769750999078
2020,3,2020 Q3,2319183,3490,4006,5204,2808,2922,3363,0.871193210184723,0.6706379707916987,-516,-1714,0.9609856262833676,0.8349687778768956
2020,4,2020 Q4,2627138,3858,4600,6048,3018,3085,3336,0.8386956521739131,0.6378968253968254,-742,-2190,0.9782820097244732,0.9046762589928058
2021,1,2021 Q1,2788106,3403,4077,5735,2795,2804,3120,0.8346823644836889,0.5933740191804708,-674,-2332,0.9967902995720399,0.8958333333333334
2021,2,2021 Q2,2828339,3718,4264,5589,3186,3327,3771,0.8719512195121951,0.6652352835927715,-546,-1871,0.957619477006312,0.8448687350835322
2021,3,2021 Q3,2882711,3735,4329,5667,3064,3215,3538,0.8627858627858628,0.6590788777130757,-594,-1932,0.9530326594090203,0.8660260033917467
2021,4,2021 Q4,2965408,4402,4966,6463,3654,3685,3917,0.8864277084172372,0.6811078446541854,-564,-2061,0.9915875169606513,0.9328567781465407
2022,1,2022 Q1,3047506,4053,4665,6205,3586,3485,3553,0.8688102893890676,0.6531829170024174,-612,-2152,1.0289813486370158,1.0092879256965945
2022,2,2022 Q2,3050644,4325,4689,5815,3882,3913,4106,0.9223715077841758,0.7437661220980224,-364,-1490,0.9920776897521083,0.9454456892352655
2022,3,2022 Q3,3043899,4361,4846,6019,3642,3748,4133,0.8999174576970698,0.7245389599601263,-485,-1658,0.971718249733191,0.8812000967819985
2022,4,2022 Q4,3047807,4303,4931,6243,3556,3673,4030,0.872642466031231,0.6892519621976614,-628,-1940,0.9681459297576913,0.8823821339950372
2023,1,2023 Q1,2922117,4276,5030,6633,3443,3537,3829,0.8500994035785289,0.6446555103271521,-754,-2357,0.9734238054848742,0.8991903891355445
2023,2,2023 Q2,2761340,4328,4838,5960,3655,3778,4029,0.8945845390657297,0.7261744966442953,-510,-1632,0.967443091582848,0.9071729957805907
2023,3,2023 Q3,2708757,4147,4765,5964,3369,3509,3801,0.8703043022035677,0.6953386988598256,-618,-1817,0.9601025933314334,0.8863456985003947
2023,4,2023 Q4,2549182,4325,5070,6443,3458,3579,3940,0.8530571992110454,0.6712711469812199,-745,-2118,0.9661916736518581,0.8776649746192894
